,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
306,306,Lehigh,14-12,0.4374,0.4236 (309),307,6-5,0.4197,227,0.4626
307,307,Texas-Pan American,6-20,0.4373,0.4307 (302),287,6-20,0.4373,310,0.3856
308,308,Campbell,4-22,0.4367,0.4237 (308),320,3-7,0.4023,317,0.3660
309,309,Hampton,19-11,0.4343,0.4280 (306),184,4-5,0.4907,187,0.4841
310,310,Winthrop,18-10,0.4341,0.4167 (313),271,6-6,0.4450,183,0.4863
311,311,Liberty,14-15,0.4332,0.4180 (310),290,5-8,0.4357,258,0.4456
312,312,Jacksonville State,19-10,0.4318,0.4137 (316),314,9-3,0.4106,180,0.4877
313,313,Fairleigh Dickinson,15-14,0.4314,0.4156 (315),321,5-4,0.3948,249,0.4528
314,314,South Carolina State,20-10,0.4285,0.4166 (314),264,2-7,0.4490,178,0.4881
315,315,Mount St. Mary's,11-16,0.4268,0.4055 (319),315,5-4,0.4093,281,0.4219
316,316,,10-14,0.4264,0.3997 (322),299,10-14,0.4264,279,0.4240
317,317,Savannah State,3-24,0.4262,0.4176 (311),300,3-24,0.4262,326,0.3474
318,318,,17-9,0.4258,0.4079 (318),301,17-9,0.4258,189,0.4828
319,319,Bethune-Cookman,8-22,0.4246,0.4168 (312),281,2-8,0.4422,311,0.3851
320,320,Texas Southern,18-12,0.4209,0.4099 (317),243,4-5,0.4603,217,0.4657
321,321,Maryland-Eastern Shore,5-23,0.4179,0.4033 (320),316,0-9,0.4058,321,0.3581
322,322,Alabama A&M,7-19,0.4132,0.3998 (321),277,3-5,0.4431,313,0.3772
323,323,Lipscomb,6-20,0.4057,0.3840 (323),317,6-20,0.4057,319,0.3620
324,324,Norfolk State,14-15,0.4015,0.3767 (325),297,3-6,0.4319,282,0.4218
325,325,Morgan State,7-22,0.4010,0.3817 (324),325,1-9,0.3729,320,0.3611
326,326,Southern University,7-20,0.3810,0.3520 (326),327,2-6,0.3127,324,0.3506
327,327,,6-20,0.3796,0.3463 (327),324,6-20,0.3796,327,0.3424
