,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
73,74,Louisiana Lafayette 13,SB,20-11,+9.91,107.1,97.2,67.6,+.037,+2.67,104.8,102.2,+9.12
74,75,Oral Roberts,MCon,25-8,+9.88,107.0,97.1,69.7,-.013,-2.52,103.4,105.9,+2.65
75,76,Buffalo,MAC,23-10,+9.87,107.4,97.5,68.6,+.056,+3.27,105.5,102.2,-2.24
76,77,Penn 13,Ivy,20-9,+9.60,102.1,92.5,68.2,+.034,-1.72,101.8,103.5,+3.31
77,78,Saint Mary's 10,WCC,25-9,+9.41,106.8,97.4,64.9,+.080,+3.04,105.2,102.2,-0.59
78,79,Washington St.,P10,12-16,+9.14,96.0,86.9,57.8,-.048,+8.67,108.5,99.8,+5.63
79,80,Nebraska,B12,14-14,+9.13,105.2,96.1,64.9,-.082,+5.73,105.5,99.7,-6.91
80,81,Xavier,A10,17-12,+9.05,111.5,102.4,63.1,-.087,+0.76,103.1,102.3,+3.06
81,82,Tennessee,SEC,14-17,+8.89,110.0,101.1,65.0,-.052,+8.95,107.2,98.2,+0.41
82,83,Kent St.,MAC,20-13,+8.65,106.6,98.0,65.4,+.001,+4.45,106.0,101.5,+5.92
83,84,Temple,A10,16-14,+8.53,109.4,100.9,60.3,-.044,+4.94,105.3,100.3,+14.45
84,85,Ohio 13,MAC,21-11,+8.29,109.8,101.5,65.7,+.042,+2.72,104.9,102.2,-4.24
85,86,Western Kentucky,SB,22-9,+8.03,112.8,104.8,66.4,-.022,-0.33,102.8,103.1,-1.75
86,87,Denver,SB,20-11,+7.98,107.9,99.9,66.6,-.054,+0.32,102.9,102.5,+1.89
87,88,Toledo,MAC,16-13,+7.85,107.4,99.5,65.7,-.028,+4.17,105.6,101.4,+5.75
88,89,Virginia,ACC,14-15,+7.47,107.1,99.7,68.0,+.059,+11.11,109.5,98.4,+1.06
89,90,UNLV,MWC,17-14,+7.04,107.3,100.2,69.1,+.030,+6.03,106.8,100.8,+3.02
90,91,Rice,WAC,19-12,+7.02,107.2,100.1,66.9,+.007,+2.55,104.2,101.7,+4.07
91,92,Boston University,AE,20-9,+6.83,100.7,93.9,62.0,+.022,-3.28,99.9,103.2,-0.67
92,93,Oregon,P10,14-13,+6.73,107.0,100.3,66.3,+.026,+7.00,106.5,99.5,-0.39
93,94,Virginia Tech,ACC,16-14,+6.70,104.9,98.2,65.9,+.036,+7.47,106.1,98.6,-12.62
94,95,Bucknell 14,Pat,23-10,+6.69,102.2,95.6,63.1,+.063,-2.34,101.4,103.7,+2.28
95,96,Ball St.,MAC,15-13,+6.59,109.0,102.4,65.8,-.017,+4.33,106.3,102.0,+3.79
96,97,TCU,CUSA,21-14,+6.59,103.2,96.6,68.0,+.047,+4.51,105.1,100.6,-3.39
97,98,Marquette,CUSA,19-12,+6.57,109.6,103.0,61.2,+.051,+3.05,104.1,101.0,-3.19
98,99,Cal St. Northridge,BW,18-13,+6.56,103.3,96.7,68.5,-.069,-0.92,102.7,103.7,+1.19
99,100,Houston,CUSA,18-14,+6.55,106.4,99.8,66.3,+.037,+4.52,105.1,100.5,+2.42
100,101,Missouri,B12,16-17,+6.37,104.2,97.8,64.1,+.049,+8.14,108.1,100.0,+2.30
101,102,Florida St.,ACC,12-19,+6.24,105.1,98.9,65.4,-.067,+10.23,108.2,98.0,-0.84
102,103,Hofstra,CAA,21-9,+6.18,107.3,101.1,66.7,+.021,-2.68,100.3,103.0,-4.55
103,104,Drexel,CAA,17-12,+5.63,106.3,100.7,65.0,-.024,-0.36,102.3,102.6,+4.83
104,105,St. John's,BE,9-18,+5.46,101.6,96.1,66.3,-.079,+8.58,108.3,99.7,-1.14
105,106,Niagara 14,MAAC,20-10,+5.43,115.2,109.8,70.1,-.027,-3.52,101.3,104.8,+0.83
106,107,Mississippi,SEC,14-17,+4.99,102.8,97.8,63.4,-.029,+6.30,107.0,100.7,-3.87
107,108,Winthrop 14,BSth,27-6,+4.97,101.5,96.5,63.1,+.065,-7.69,99.6,107.3,+2.26
108,109,Seton Hall,BE,12-16,+4.96,100.4,95.4,64.2,-.035,+6.46,106.8,100.3,-5.25
109,110,Wyoming,MWC,15-13,+4.83,105.2,100.4,68.7,+.044,+4.54,105.1,100.5,+0.61
110,111,Dayton,A10,18-11,+4.72,102.2,97.5,63.0,-.001,-1.00,102.5,103.5,-0.64
111,112,Murray St.,OVC,17-11,+4.69,108.6,103.9,63.4,-.059,-2.65,102.8,105.5,+5.86
112,113,Colorado,B12,14-16,+4.67,107.4,102.7,69.5,+.060,+8.50,107.5,99.0,-0.27
113,114,Davidson,SC,23-9,+4.61,107.8,103.2,65.4,+.111,-0.46,101.6,102.0,+9.66
114,115,USC,P10,12-17,+4.57,107.7,103.2,70.3,-.018,+7.11,106.4,99.3,+1.44
115,116,Middle Tennessee,SB,19-12,+4.53,104.8,100.2,65.1,-.019,-1.38,102.4,103.8,-2.42
116,117,Cal St. Fullerton,BW,21-11,+4.53,106.5,101.9,70.6,+.062,-0.51,102.9,103.4,-2.42
117,118,San Diego,WCC,16-13,+4.25,107.6,103.4,70.5,-.001,+2.50,105.1,102.6,-2.56
118,119,Northeastern,AE,21-10,+4.15,105.8,101.6,71.4,+.084,-2.47,100.1,102.5,+0.42
119,120,Illinois St.,MVC,17-13,+4.11,105.9,101.8,63.7,+.057,+4.00,105.4,101.4,-4.43
120,121,Oregon St.,P10,17-15,+4.10,107.0,102.9,68.2,+.063,+4.36,104.6,100.2,-8.31
121,122,VCU,CAA,19-13,+4.04,105.6,101.5,65.6,-.034,-1.98,101.2,103.2,+1.67
122,123,Purdue,B10,7-21,+3.97,105.9,101.9,63.3,-.100,+11.69,109.0,97.4,+4.61
123,124,Northwestern,B10,15-16,+3.81,101.8,97.9,60.6,+.060,+6.64,107.2,100.6,-2.95
124,125,San Francisco,WCC,17-14,+3.81,101.6,97.8,65.8,+.048,+3.16,104.9,101.8,+1.21
125,126,Bradley,MVC,13-15,+3.73,102.4,98.6,70.4,+.009,+5.10,107.1,102.0,+0.47
126,127,Hawaii,WAC,16-13,+3.68,105.3,101.7,64.7,-.037,+0.04,102.5,102.4,-1.94
127,128,Michigan,B10,13-18,+3.68,103.5,99.8,62.2,-.026,+6.50,106.0,99.5,-1.01
128,129,Santa Clara,WCC,15-16,+3.65,106.4,102.7,68.8,-.049,+2.22,104.6,102.4,-1.00
129,130,SMU,WAC,14-14,+3.61,104.8,101.2,63.8,-.059,+1.38,103.5,102.2,+1.29
130,131,Detroit,Horz,14-16,+3.59,103.1,99.5,59.7,-.070,+1.61,105.0,103.4,+4.86
131,132,South Florida,CUSA,14-16,+3.33,103.2,99.9,66.6,-.070,+2.36,103.4,101.1,-10.03
132,133,Bowling Green,MAC,18-11,+3.23,107.6,104.4,65.1,+.104,+2.67,105.4,102.7,-2.16
133,134,Southeastern Louisiana 15,Slnd,24-9,+3.20,97.1,93.9,60.0,+.007,-4.75,100.3,105.1,-1.78
134,135,Pepperdine,WCC,17-14,+3.12,107.8,104.7,69.0,+.030,+2.01,103.9,101.8,-1.04
135,136,Illinois Chicago,Horz,15-14,+3.06,107.6,104.5,65.9,-.010,+1.72,103.8,102.1,+9.72
136,137,Northern Illinois,MAC,11-17,+2.84,108.3,105.5,62.5,-.069,+4.03,106.0,102.0,+3.24
137,138,Drake,MVC,13-16,+2.47,105.3,102.8,67.0,+.022,+4.89,105.8,100.9,-2.10
138,139,IUPUI,MCon,16-13,+2.33,109.6,107.3,63.0,-.035,-1.25,104.5,105.8,+5.73
139,140,George Mason,CAA,16-13,+2.12,108.4,106.3,65.9,-.039,-3.21,100.6,103.9,-2.77
140,141,Rutgers,BE,10-19,+2.10,106.6,104.5,63.9,-.007,+10.63,108.7,98.1,+2.22
141,142,Princeton,Ivy,15-13,+2.06,105.2,103.1,52.9,-.017,-0.56,101.7,102.2,+6.11
142,143,Eastern Kentucky 15,OVC,22-9,+1.98,102.8,100.8,66.1,+.099,-3.87,102.4,106.3,+1.72
143,144,California,P10,13-16,+1.76,102.0,100.2,66.2,+.029,+5.60,106.0,100.4,-4.93
144,145,Butler,Horz,13-15,+1.70,109.6,107.9,58.1,-.119,-0.71,102.6,103.3,-0.90
145,146,Arkansas Little Rock,SB,18-10,+1.69,102.6,100.9,63.3,+.129,+1.90,103.8,101.8,+6.41
146,147,Portland,WCC,15-15,+1.54,104.9,103.3,65.3,-.022,+1.28,102.9,101.6,-3.27
147,148,Colorado St.,MWC,11-17,+1.53,103.5,102.0,66.7,-.106,+4.01,106.2,102.2,-2.62
148,149,Auburn,SEC,14-17,+1.53,106.8,105.3,67.6,+.064,+6.51,106.5,100.0,-2.71
149,150,Louisiana Tech,WAC,14-15,+1.09,102.6,101.5,67.3,-.010,+0.71,103.0,102.3,-0.43
150,151,Manhattan,MAAC,15-14,+0.64,103.9,103.3,65.8,-.058,-2.35,102.7,105.1,+11.03
151,152,Evansville,MVC,11-17,+0.55,107.4,106.8,66.6,-.030,+3.14,105.0,101.9,-7.05
152,153,Loyola Marymount,WCC,11-17,+0.54,98.8,98.2,67.7,-.037,+3.10,105.5,102.4,+0.28
153,154,San Diego St.,MWC,11-18,+0.53,105.9,105.4,66.4,-.016,+6.02,106.1,100.1,+2.04
154,155,Tennessee Tech,OVC,18-11,+0.43,101.3,100.8,67.6,+.008,-4.18,102.1,106.3,+2.25
155,156,UNC Wilmington,CAA,19-10,+0.39,100.0,99.6,62.7,+.076,-3.30,101.5,104.8,-5.06
156,157,BYU,MWC,9-21,+0.37,101.4,101.1,65.4,-.095,+7.41,107.8,100.4,+6.10
157,158,Arkansas St.,SB,16-13,+0.34,105.8,105.5,68.4,-.026,-0.78,102.3,103.1,-3.76
