,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
306,306,St. Peter's,5-25,0.4383,0.4250 (306),332,2-9,0.3994,328,0.3710
307,307,Texas-Arlington,11-16,0.4381,0.4267 (303),303,3-7,0.4400,253,0.4431
308,308,Wagner,10-19,0.4380,0.4275 (300),268,2-8,0.4575,299,0.4163
309,309,Liberty,11-17,0.4371,0.4243 (309),263,3-10,0.4585,283,0.4248
310,310,St. Francis (PA),7-21,0.4362,0.4276 (299),255,2-8,0.4598,321,0.3838
311,311,Mississippi Valley State,18-15,0.4357,0.4278 (298),119,3-9,0.5163,200,0.4764
312,312,Southeast Louisiana,14-14,0.4344,0.4123 (322),301,6-5,0.4407,229,0.4607
313,313,Denver,4-25,0.4343,0.4172 (317),335,1-9,0.3807,335,0.3494
314,314,Robert Morris,16-11,0.4322,0.4176 (315),260,7-1,0.4589,207,0.4729
315,315,South Dakota State,6-24,0.4302,0.4144 (321),317,4-16,0.4296,329,0.3704
316,316,Jackson State,20-13,0.4302,0.4167 (318),117,5-7,0.5164,168,0.4915
317,317,Va. Military Inst.,10-19,0.4302,0.4224 (310),331,3-9,0.4105,297,0.4166
318,318,Prairie View A&M,6-22,0.4300,0.4180 (313),137,0-10,0.5112,325,0.3785
319,319,Alabama State,9-20,0.4286,0.4179 (314),148,1-9,0.5076,314,0.3982
320,320,New Jersey Tech,5-24,0.4284,0.4191 (312),320,4-15,0.4280,331,0.3639
321,321,Texas Southern,11-17,0.4279,0.4173 (316),67,1-7,0.5392,277,0.4294
322,322,Maryland-Eastern Shore,3-27,0.4257,0.4161 (319),223,2-9,0.4738,332,0.3514
323,323,Utah Valley,20-7,0.4252,0.4090 (324),294,11-6,0.4446,130,0.5155
324,324,Long Island,9-19,0.4248,0.4088 (325),326,3-7,0.4186,310,0.4026
325,325,Bethune-Cookman,7-21,0.4230,0.4102 (323),239,1-8,0.4670,322,0.3827
326,326,North Dakota State,16-8,0.4197,0.3894 (331),309,8-6,0.4350,160,0.4961
327,327,Texas-Pan American,10-15,0.4181,0.3993 (327),324,6-9,0.4205,294,0.4188
328,328,North Carolina A&T,13-17,0.4179,0.3996 (326),273,2-8,0.4543,271,0.4329
329,329,Northern Colorado,3-23,0.4176,0.3893 (332),336,1-9,0.3767,336,0.3417
330,330,High Point,18-10,0.4171,0.3918 (330),308,6-6,0.4376,185,0.4823
331,331,Grambling State,10-14,0.4154,0.3993 (328),36,0-5,0.5567,287,0.4233
332,332,South Carolina State,13-17,0.4112,0.3893 (333),282,3-8,0.4515,291,0.4193
333,333,Howard,9-22,0.4093,0.3955 (329),322,4-8,0.4249,324,0.3807
334,334,Morgan State,13-18,0.4072,0.3820 (334),333,2-9,0.3990,303,0.4125
335,335,Alabama A&M,6-20,0.4029,0.3792 (335),272,2-6,0.4546,334,0.3502
336,336,Alcorn State,10-19,0.3997,0.3768 (336),318,0-10,0.4284,320,0.3880
