,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
102,103,Austin Peay,OVC,22-10,+5.49,100.1,94.6,62.1,+.070,-0.01,105.4,105.4,+14.88
103,104,Niagara,MAAC,22-10,+5.45,111.5,106.1,69.9,-.028,-3.24,101.7,104.9,-4.10
104,105,Belmont,ASun,21-9,+5.22,106.0,100.8,63.8,-.047,-5.08,101.0,106.1,+7.27
105,106,Fairfield,MAAC,19-11,+4.95,102.2,97.3,62.1,+.025,-2.12,102.9,105.0,+2.62
106,107,Clemson,ACC,10-18,+4.93,102.1,97.1,64.9,+.022,+13.44,110.6,97.2,-1.35
107,108,Princeton 14,Ivy,20-8,+4.86,106.3,101.4,56.4,+.033,-4.32,100.2,104.6,-0.07
108,109,Buffalo,MAC,17-12,+4.67,107.6,102.9,69.5,-.018,-1.87,102.9,104.7,-4.78
109,110,Miami FL,BE,14-16,+4.60,107.4,102.8,65.2,-.104,+2.44,102.8,100.3,-11.93
110,111,San Diego St.,MWC,14-16,+4.49,105.0,100.6,66.9,-.035,+5.88,108.0,102.2,+2.26
111,112,Toledo,MAC,20-11,+4.36,109.0,104.7,69.6,+.115,+1.39,104.7,103.3,+6.00
112,113,East Carolina,CUSA,13-14,+4.35,104.7,100.4,65.4,-.101,+1.63,102.7,101.0,-12.96
113,114,Wyoming,MWC,11-17,+4.34,104.7,100.3,68.0,-.123,+4.78,106.4,101.6,-0.34
114,115,New Mexico,MWC,14-14,+4.19,110.3,106.1,61.6,-.058,+2.21,104.6,102.4,-7.44
115,116,College of Charleston,SC,20-9,+3.92,105.5,101.6,67.7,+.017,-3.61,100.5,104.1,+1.40
116,117,IUPUI,MCon,21-11,+3.85,110.7,106.9,64.5,-.017,-2.48,103.3,105.8,+2.28
117,118,Western Kentucky,SB,15-13,+3.80,111.2,107.4,66.2,-.056,+0.57,102.5,101.9,+5.96
118,119,Louisiana Tech,WAC,15-15,+3.80,102.6,98.8,64.9,-.018,+5.32,105.4,100.1,-1.03
119,120,UNC Wilmington,CAA,15-15,+3.66,98.7,95.0,59.8,-.064,+0.29,103.3,103.0,+2.50
120,121,UC Santa Barbara,BW,16-12,+3.45,101.9,98.5,63.1,-.034,-1.30,103.6,104.9,+1.67
121,122,Miami OH,MAC,18-11,+3.43,104.5,101.1,58.6,+.085,+1.50,104.6,103.1,+4.46
